Reference,Value,Footprint,LCSC,Qty,Description,Notes
C6,100nF,Capacitor_SMD:C_0402_1005Metric,C14663,1,CC1101 VDD decoupling,
C7,100nF,Capacitor_SMD:C_0402_1005Metric,C14663,1,CC1101 AVDD decoupling,
C8,1uF,Capacitor_SMD:C_0402_1005Metric,C15849,1,PN532 VDD_TX bulk — within 1mm of pin,
C9,100nF,Capacitor_SMD:C_0402_1005Metric,C14663,1,PN532 VDD_RX decoupling,
C10,100nF,Capacitor_SMD:C_0402_1005Metric,C14663,1,PN532 VDD decoupling,
C11,1uF,Capacitor_SMD:C_0402_1005Metric,C15849,1,PN532 TVDD bulk,
C_NFC1,56pF,Capacitor_SMD:C_0402_1005Metric,C1563,1,NFC antenna tuning cap Cp,Adjust value after coil L measurement
C_NFC2,33pF,Capacitor_SMD:C_0402_1005Metric,C1560,1,NFC antenna tuning cap Cs,Adjust value after coil L measurement
C_LF1,3.9nF,Capacitor_SMD:C_0402_1005Metric,C1548,1,EM4095 RES1 resonance cap,Adjust after coil measurement
C_LF2,12nF,Capacitor_SMD:C_0402_1005Metric,C57112,1,EM4095 RES2 resonance cap,Adjust after coil measurement
C_SYS1,10uF,Capacitor_SMD:C_0805_2012Metric,C15850,1,BQ25180 SYS output bulk,
C_BAT1,10uF,Capacitor_SMD:C_0805_2012Metric,C15850,1,BQ25180 BAT filter,
C12,10uF,Capacitor_SMD:C_0805_2012Metric,C15850,1,AMS1117 output cap,
C13,10uF,Capacitor_SMD:C_0805_2012Metric,C15850,1,AMS1117 input cap,
C_RF1,10uF,Capacitor_SMD:C_0805_2012Metric,C15850,1,3V3_RF bulk cap post ferrite,
C_RF2,100nF,Capacitor_SMD:C_0402_1005Metric,C14663,1,3V3_RF HF decoupling,
C_SD,100nF,Capacitor_SMD:C_0402_1005Metric,C14663,1,MicroSD VDD decoupling,
C_DISP,10uF,Capacitor_SMD:C_0805_2012Metric,C15850,1,Display VCC bulk,
C_IRFILTER,4.7uF,Capacitor_SMD:C_0805_2012Metric,C16214,1,TSOP38238 VCC filter cap,
C_LED1,100nF,Capacitor_SMD:C_0402_1005Metric,C14663,8,WS2812B bypass cap — 1 per LED within 2mm,
C_LED2,100nF,Capacitor_SMD:C_0402_1005Metric,C14663,,See C_LED1,
C_LED3,100nF,Capacitor_SMD:C_0402_1005Metric,C14663,,See C_LED1,
C_LED4,100nF,Capacitor_SMD:C_0402_1005Metric,C14663,,See C_LED1,
C_LED5,100nF,Capacitor_SMD:C_0402_1005Metric,C14663,,See C_LED1,
C_LED6,100nF,Capacitor_SMD:C_0402_1005Metric,C14663,,See C_LED1,
C_LED7,100nF,Capacitor_SMD:C_0402_1005Metric,C14663,,See C_LED1,
C_LED8,100nF,Capacitor_SMD:C_0402_1005Metric,C14663,,See C_LED1,
C_IO0_RC,100nF,Capacitor_SMD:C_0402_1005Metric,C14663,1,IO0 RC filter cap — boot strapping,New in v0.2 — pairs with R_IO0_PU
R_LED_DIN,300R,Resistor_SMD:R_0402_1005Metric,C25107,1,WS2812B DIN series resistor,
U_LVLSHIFT,74HCT1G125GW,Package_TO_SOT_SMD:SOT-353_SC-70-5,C157010,1,Single buffer level shifter 3V3→5V for LED DIN,
